name,url
Chon Actrion,https://starwars.fandom.com//wiki/Chon_Actrion
Chon Actrion/Legends,https://starwars.fandom.com//wiki/Chon_Actrion/Legends
Jor Aerith,https://starwars.fandom.com//wiki/Jor_Aerith
Stass Allie,https://starwars.fandom.com//wiki/Stass_Allie
Anstak,https://starwars.fandom.com//wiki/Anstak
Soara Antana,https://starwars.fandom.com//wiki/Soara_Antana
Aryzah,https://starwars.fandom.com//wiki/Aryzah
Bran Ath'Morath,https://starwars.fandom.com//wiki/Bran_Ath%27Morath
Haaran Balmor,https://starwars.fandom.com//wiki/Haaran_Balmor
Depa Billaba,https://starwars.fandom.com//wiki/Depa_Billaba
Yula Braylon,https://starwars.fandom.com//wiki/Yula_Braylon
Nareen Cale/Canon,https://starwars.fandom.com//wiki/Nareen_Cale/Canon
Morrit Ch'gally/Canon,https://starwars.fandom.com//wiki/Morrit_Ch%27gally/Canon
Chiata,https://starwars.fandom.com//wiki/Chiata
Chuang,https://starwars.fandom.com//wiki/Chuang
Mott Corbet,https://starwars.fandom.com//wiki/Mott_Corbet
Eno Cordova,https://starwars.fandom.com//wiki/Eno_Cordova
Crucitorn (Jedi Master),https://starwars.fandom.com//wiki/Crucitorn_(Jedi_Master)
Poli Dapatian,https://starwars.fandom.com//wiki/Poli_Dapatian
Ima-Gun Di,https://starwars.fandom.com//wiki/Ima-Gun_Di
Dooku,https://starwars.fandom.com//wiki/Dooku
Cin Drallig,https://starwars.fandom.com//wiki/Cin_Drallig
Tho-Mes Drei,https://starwars.fandom.com//wiki/Tho-Mes_Drei
Gretz Droom,https://starwars.fandom.com//wiki/Gretz_Droom
Allynic E'Kles,https://starwars.fandom.com//wiki/Allynic_E%27Kles
User:Eddiebox28/Workbench,https://starwars.fandom.com//wiki/User:Eddiebox28/Workbench
Sta-Den Eekin,https://starwars.fandom.com//wiki/Sta-Den_Eekin
Bant Eerin,https://starwars.fandom.com//wiki/Bant_Eerin
Elio,https://starwars.fandom.com//wiki/Elio
Vo'ren Faalo,https://starwars.fandom.com//wiki/Vo%27ren_Faalo
Kit Fisto,https://starwars.fandom.com//wiki/Kit_Fisto
Four Masters,https://starwars.fandom.com//wiki/Four_Masters
Adi Gallia,https://starwars.fandom.com//wiki/Adi_Gallia
Stellan Gios,https://starwars.fandom.com//wiki/Stellan_Gios
Wom-Nii Gnaden,https://starwars.fandom.com//wiki/Wom-Nii_Gnaden
Halsey,https://starwars.fandom.com//wiki/Halsey
Ri-Lee Howell,https://starwars.fandom.com//wiki/Ri-Lee_Howell
Nil Idyth,https://starwars.fandom.com//wiki/Nil_Idyth
Kirak Infil'a,https://starwars.fandom.com//wiki/Kirak_Infil%27a
Val Isa,https://starwars.fandom.com//wiki/Val_Isa
Qui-Gon Jinn,https://starwars.fandom.com//wiki/Qui-Gon_Jinn
Jmmaar,https://starwars.fandom.com//wiki/Jmmaar
Jrul,https://starwars.fandom.com//wiki/Jrul
Thongla Jur,https://starwars.fandom.com//wiki/Thongla_Jur
K'ungfu,https://starwars.fandom.com//wiki/K%27ungfu
Kal-Don,https://starwars.fandom.com//wiki/Kal-Don
Mar Ti Kam'Ron,https://starwars.fandom.com//wiki/Mar_Ti_Kam%27Ron
Rana Kant,https://starwars.fandom.com//wiki/Rana_Kant
Baird Kantoo,https://starwars.fandom.com//wiki/Baird_Kantoo
Nomen Karr,https://starwars.fandom.com//wiki/Nomen_Karr
Coleman Kcaj,https://starwars.fandom.com//wiki/Coleman_Kcaj
Kelleran Beq,https://starwars.fandom.com//wiki/Kelleran_Beq
Obi-Wan Kenobi,https://starwars.fandom.com//wiki/Obi-Wan_Kenobi
Kep-She,https://starwars.fandom.com//wiki/Kep-She
Ki-Adi-Mundi,https://starwars.fandom.com//wiki/Ki-Adi-Mundi
Plun Kil,https://starwars.fandom.com//wiki/Plun_Kil
Agen Kolar,https://starwars.fandom.com//wiki/Agen_Kolar
Uro Koo,https://starwars.fandom.com//wiki/Uro_Koo
Plo Koon,https://starwars.fandom.com//wiki/Plo_Koon
Lene Kostana,https://starwars.fandom.com//wiki/Lene_Kostana
Eeth Koth,https://starwars.fandom.com//wiki/Eeth_Koth
Pong Krell,https://starwars.fandom.com//wiki/Pong_Krell
Alxa Kress,https://starwars.fandom.com//wiki/Alxa_Kress
Avar Kriss,https://starwars.fandom.com//wiki/Avar_Kriss
Lodaka,https://starwars.fandom.com//wiki/Lodaka
Loden Greatstorm,https://starwars.fandom.com//wiki/Loden_Greatstorm
Lyoon,https://starwars.fandom.com//wiki/Lyoon
Lyr Farseeker,https://starwars.fandom.com//wiki/Lyr_Farseeker
Taron Malicos,https://starwars.fandom.com//wiki/Taron_Malicos
Mana,https://starwars.fandom.com//wiki/Mana
Cherff Maota,https://starwars.fandom.com//wiki/Cherff_Maota
Jai Maruk,https://starwars.fandom.com//wiki/Jai_Maruk
Maslo-Skaff,https://starwars.fandom.com//wiki/Maslo-Skaff
Meloria's Jedi Master,https://starwars.fandom.com//wiki/Meloria%27s_Jedi_Master
Cyslin Myr,https://starwars.fandom.com//wiki/Cyslin_Myr
Neebo,https://starwars.fandom.com//wiki/Neebo
Niobaya,https://starwars.fandom.com//wiki/Niobaya
Ooba-Neba Nocci,https://starwars.fandom.com//wiki/Ooba-Neba_Nocci
Jocasta Nu,https://starwars.fandom.com//wiki/Jocasta_Nu
Odan-Urr,https://starwars.fandom.com//wiki/Odan-Urr
Odell,https://starwars.fandom.com//wiki/Odell
Odu,https://starwars.fandom.com//wiki/Odu
Oo'ob,https://starwars.fandom.com//wiki/Oo%27ob
Oorallon,https://starwars.fandom.com//wiki/Oorallon
Ooroo/Canon,https://starwars.fandom.com//wiki/Ooroo/Canon
Ilia Orpin,https://starwars.fandom.com//wiki/Ilia_Orpin
Even Piell,https://starwars.fandom.com//wiki/Even_Piell
Yarael Poof,https://starwars.fandom.com//wiki/Yarael_Poof
Shadday Potkin,https://starwars.fandom.com//wiki/Shadday_Potkin
Prokreisha,https://starwars.fandom.com//wiki/Prokreisha
Ulic Qel-Droma's Jedi Master,https://starwars.fandom.com//wiki/Ulic_Qel-Droma%27s_Jedi_Master
Radorm,https://starwars.fandom.com//wiki/Radorm
Oppo Rancisis,https://starwars.fandom.com//wiki/Oppo_Rancisis
Bolla Ropal,https://starwars.fandom.com//wiki/Bolla_Ropal
Aayla Secura,https://starwars.fandom.com//wiki/Aayla_Secura
J'oopi Shé,https://starwars.fandom.com//wiki/J%27oopi_Sh%C3%A9
Sifo-Dyas,https://starwars.fandom.com//wiki/Sifo-Dyas
Tera Sinube,https://starwars.fandom.com//wiki/Tera_Sinube
Luke Skywalker,https://starwars.fandom.com//wiki/Luke_Skywalker
Rey Skywalker,https://starwars.fandom.com//wiki/Rey_Skywalker
Ferleen Snee,https://starwars.fandom.com//wiki/Ferleen_Snee
Sskeer,https://starwars.fandom.com//wiki/Sskeer
Douglas Sunvale,https://starwars.fandom.com//wiki/Douglas_Sunvale
Suu-Tonn,https://starwars.fandom.com//wiki/Suu-Tonn
T'alla/Canon,https://starwars.fandom.com//wiki/T%27alla/Canon
Jaro Tapal,https://starwars.fandom.com//wiki/Jaro_Tapal
Tenth Brother,https://starwars.fandom.com//wiki/Tenth_Brother
Tholme,https://starwars.fandom.com//wiki/Tholme
Thorpe,https://starwars.fandom.com//wiki/Thorpe
Shaak Ti,https://starwars.fandom.com//wiki/Shaak_Ti
Saesee Tiin,https://starwars.fandom.com//wiki/Saesee_Tiin
Tiplar,https://starwars.fandom.com//wiki/Tiplar
Tiplee,https://starwars.fandom.com//wiki/Tiplee
J'ilk Torlin,https://starwars.fandom.com//wiki/J%27ilk_Torlin
Tosan,https://starwars.fandom.com//wiki/Tosan
Coleman Trebor,https://starwars.fandom.com//wiki/Coleman_Trebor
Trennis,https://starwars.fandom.com//wiki/Trennis
Tu-Anh,https://starwars.fandom.com//wiki/Tu-Anh
Nes Ukul's master,https://starwars.fandom.com//wiki/Nes_Ukul%27s_master
Luminara Unduli,https://starwars.fandom.com//wiki/Luminara_Unduli
Unidentified Finhead Jedi,https://starwars.fandom.com//wiki/Unidentified_Finhead_Jedi
Uvell,https://starwars.fandom.com//wiki/Uvell
Kez Velaz,https://starwars.fandom.com//wiki/Kez_Velaz
Veleckra,https://starwars.fandom.com//wiki/Veleckra
Broden Kel Verdox,https://starwars.fandom.com//wiki/Broden_Kel_Verdox
Vonkhel,https://starwars.fandom.com//wiki/Vonkhel
Quinlan Vos,https://starwars.fandom.com//wiki/Quinlan_Vos
Mace Windu,https://starwars.fandom.com//wiki/Mace_Windu
Wishan,https://starwars.fandom.com//wiki/Wishan
Wiwa,https://starwars.fandom.com//wiki/Wiwa
Phin-Law Wo,https://starwars.fandom.com//wiki/Phin-Law_Wo
Yaddle,https://starwars.fandom.com//wiki/Yaddle
Yoda,https://starwars.fandom.com//wiki/Yoda
Va Zhurro,https://starwars.fandom.com//wiki/Va_Zhurro
